Municipality,Region,Population
Ale,Västra Götalands,32528
Alingsås,Västra Götalands,42569
Alvesta,Kronobergs,19926
Aneby,Jönköpings,6826
Arboga,Västmanlands,14018
Arjeplog,Norrbottens,2612
Arvidsjaur,Norrbottens,6069
Arvika,Värmlands,25573
Askersund,Örebro,11446
Avesta,Dalarnas,22500
Bengtsfors,Västra Götalands,9064
Berg,Jämtlands,7101
Bjurholm,Västerbottens,2351
Bjuv,Skåne,15979
Boden,Norrbottens,28038
Bollebygd,Västra Götalands,9793
Bollnäs,Gävleborgs,26285
Borgholm,Kalmar,10653
Borlänge,Dalarnas,51424
Borås,Västra Götalands,114860
Botkyrka,Stockholms,95846
Boxholm,Östergötlands,5494
Bromölla,Skåne,12515
Bräcke,Jämtlands,6055
Burlöv,Skåne,20032
Båstad,Skåne,15931
Dals-Ed,Västra Götalands,4609
Danderyd,Stockholms,32421
Degerfors,Örebro,9326
Dorotea,Västerbottens,2324
Eda,Värmlands,8437
Ekerö,Stockholms,28868
Eksjö,Jönköpings,17759
Emmaboda,Kalmar,9054
Enköping,Uppsala,48564
Eskilstuna,Södermanlands,107335
Eslöv,Skåne,34866
Essunga,Västra Götalands,5611
Fagersta,Västmanlands,13119
Falkenberg,Hallands,47310
Falköping,Västra Götalands,32789
Falun,Dalarnas,59896
Filipstad,Värmlands,9856
Finspång,Östergötlands,21654
Flen,Södermanlands,15425
Forshaga,Värmlands,11504
Färgelanda,Västra Götalands,6382
Gagnef,Dalarnas,10375
Gislaved,Jönköpings,28938
Gnesta,Södermanlands,11460
Gnosjö,Jönköpings,9172
Gotland,Gotlands,61081
Grums,Värmlands,9031
Grästorp,Västra Götalands,5567
Gullspång,Västra Götalands,5061
Gällivare,Norrbottens,17224
Gävle,Gävleborgs,103619
Göteborg,Västra Götalands,608462
Götene,Västra Götalands,13257
Habo,Jönköpings,13424
Hagfors,Värmlands,11424
Hallsberg,Örebro,16129
Hallstahammar,Västmanlands,16616
Halmstad,Hallands,106163
Hammarö,Värmlands,17011
Haninge,Stockholms,100638
Haparanda,Norrbottens,9144
Heby,Uppsala,14342
Hedemora,Dalarnas,15294
Helsingborg,Skåne,152038
Herrljunga,Västra Götalands,9457
Hjo,Västra Götalands,9322
Hofors,Gävleborgs,9348
Huddinge,Stockholms,114119
Hudiksvall,Gävleborgs,37609
Hultsfred,Kalmar,13716
Hylte,Hallands,10230
Håbo,Uppsala,22998
Hällefors,Örebro,6347
Härjedalen,Jämtlands,10142
Härnösand,Västernorrlands,24533
Härryda,Västra Götalands,39895
Hässleholm,Skåne,52153
Höganäs,Skåne,28382
Högsby,Kalmar,5354
Hörby,Skåne,15574
Höör,Skåne,17468
Jokkmokk,Norrbottens,4691
Järfälla,Stockholms,88219
Jönköping,Jönköpings,147292
Kalix,Norrbottens,15426
Kalmar,Kalmar,72714
Karlsborg,Västra Götalands,7021
Karlshamn,Blekinge,31851
Karlskoga,Örebro,30167
Karlskrona,Blekinge,66373
Karlstad,Värmlands,97927
Katrineholm,Södermanlands,34242
Kil,Värmlands,12080
Kinda,Östergötlands,9960
Kiruna,Norrbottens,22395
Klippan,Skåne,17723
Knivsta,Uppsala,20997
Kramfors,Västernorrlands,17595
Kristianstad,Skåne,86323
Kristinehamn,Värmlands,23730
Krokom,Jämtlands,15730
Kumla,Örebro,22671
Kungsbacka,Hallands,85609
Kungsör,Västmanlands,8648
Kungälv,Västra Götalands,50215
Kävlinge,Skåne,32465
Köping,Västmanlands,25802
Laholm,Hallands,26581
Landskrona,Skåne,47289
Laxå,Örebro,5449
Lekeberg,Örebro,8579
Leksand,Dalarnas,16118
Lerum,Västra Götalands,43563
Lessebo,Kronobergs,8257
Lidingö,Stockholms,48353
Lidköping,Västra Götalands,40494
Lilla Edet,Västra Götalands,14424
Lindesberg,Örebro,23165
Linköping,Östergötlands,167994
Ljungby,Kronobergs,28271
Ljusdal,Gävleborgs,18435
Ljusnarsberg,Örebro,4351
Lomma,Skåne,24671
Ludvika,Dalarnas,26572
Luleå,Norrbottens,79638
Lund,Skåne,131361
Lycksele,Västerbottens,12143
Lysekil,Västra Götalands,13948
Malmö,Skåne,365252
Malung-Sälen,Dalarnas,10171
Malå,Västerbottens,2957
Mariestad,Västra Götalands,24621
Mark,Västra Götalands,35193
Markaryd,Kronobergs,9994
Mellerud,Västra Götalands,9102
Mjölby,Östergötlands,28716
Mora,Dalarnas,20527
Motala,Östergötlands,43594
Mullsjö,Jönköpings,7577
Munkedal,Västra Götalands,10359
Munkfors,Värmlands,3623
Mölndal,Västra Götalands,71376
Mönsterås,Kalmar,13079
Mörbylånga,Kalmar,16220
Nacka,Stockholms,111719
Nora,Örebro,10638
Norberg,Västmanlands,5448
Nordanstig,Gävleborgs,9299
Nordmaling,Västerbottens,6944
Norrköping,Östergötlands,144932
Norrtälje,Stockholms,66427
Norsjö,Västerbottens,4004
Nybro,Kalmar,20036
Nykvarn,Stockholms,12301
Nyköping,Södermanlands,58315
Nynäshamn,Stockholms,30526
Nässjö,Jönköpings,31635
Ockelbo,Gävleborgs,5745
Olofström,Blekinge,13038
Orsa,Dalarnas,6873
Orust,Västra Götalands,15380
Osby,Skåne,13041
Oskarshamn,Kalmar,26960
Ovanåker,Gävleborgs,11390
Oxelösund,Södermanlands,12050
Pajala,Norrbottens,5859
Partille,Västra Götalands,41092
Perstorp,Skåne,7272
Piteå,Norrbottens,42429
Ragunda,Jämtlands,5151
Robertsfors,Västerbottens,6680
Ronneby,Blekinge,28804
Rättvik,Dalarnas,11047
Sala,Västmanlands,22867
Salem,Stockholms,17530
Sandviken,Gävleborgs,38401
Sigtuna,Stockholms,52662
Simrishamn,Skåne,18964
Sjöbo,Skåne,19344
Skara,Västra Götalands,18686
Skellefteå,Västerbottens,78647
Skinnskatteberg,Västmanlands,4298
Skurup,Skåne,17027
Skövde,Västra Götalands,57916
Smedjebacken,Dalarnas,10830
Sollefteå,Västernorrlands,18429
Sollentuna,Stockholms,77601
Solna,Stockholms,85696
Sorsele,Västerbottens,2362
Sotenäs,Västra Götalands,9104
Staffanstorp,Skåne,27275
Stenungsund,Västra Götalands,27808
Stockholm,Stockholms,994298
Storfors,Värmlands,3793
Storuman,Västerbottens,5603
Strängnäs,Södermanlands,39274
Strömstad,Västra Götalands,13538
Strömsund,Jämtlands,11020
Sundbyberg,Stockholms,56295
Sundsvall,Västernorrlands,99100
Sunne,Värmlands,13383
Surahammar,Västmanlands,9846
Svalöv,Skåne,14550
Svedala,Skåne,23501
Svenljunga,Västra Götalands,10714
Säffle,Värmlands,14900
Säter,Dalarnas,11213
Sävsjö,Jönköpings,11586
Söderhamn,Gävleborgs,24586
Söderköping,Östergötlands,14825
Södertälje,Stockholms,102843
Sölvesborg,Blekinge,17442
Tanum,Västra Götalands,12823
Tibro,Västra Götalands,11355
Tidaholm,Västra Götalands,12805
Tierp,Uppsala,21100
Timrå,Västernorrlands,17470
Tingsryd,Kronobergs,11981
Tjörn,Västra Götalands,16148
Tomelilla,Skåne,13641
Torsby,Värmlands,11305
Torsås,Kalmar,6987
Tranemo,Västra Götalands,11848
Tranås,Jönköpings,18629
Trelleborg,Skåne,47155
Trollhättan,Västra Götalands,58977
Trosa,Södermanlands,14880
Tyresö,Stockholms,49128
Täby,Stockholms,77628
Töreboda,Västra Götalands,9043
Uddevalla,Västra Götalands,57055
Ulricehamn,Västra Götalands,25054
Umeå,Västerbottens,133920
Upplands Väsby,Stockholms,50291
Upplands-Bro,Stockholms,32751
Uppsala,Uppsala,247666
Uppvidinge,Kronobergs,9098
Vadstena,Östergötlands,7489
Vaggeryd,Jönköpings,14820
Valdemarsvik,Östergötlands,7553
Vallentuna,Stockholms,35143
Vansbro,Dalarnas,6746
Vara,Västra Götalands,16016
Varberg,Hallands,68954
Vaxholm,Stockholms,11823
Vellinge,Skåne,37750
Vetlanda,Jönköpings,27534
Vilhelmina,Västerbottens,6236
Vimmerby,Kalmar,15368
Vindeln,Västerbottens,5420
Vingåker,Södermanlands,8767
Vårgårda,Västra Götalands,12476
Vänersborg,Västra Götalands,40076
Vännäs,Västerbottens,9122
Värmdö,Stockholms,46664
Värnamo,Jönköpings,34522
Västervik,Kalmar,36388
Västerås,Västmanlands,160675
Växjö,Kronobergs,98220
Ydre,Östergötlands,3631
Ystad,Skåne,32185
Åmål,Västra Götalands,11945
Ånge,Västernorrlands,9064
Åre,Jämtlands,12579
Årjäng,Värmlands,9860
Åsele,Västerbottens,2691
Åstorp,Skåne,16447
Åtvidaberg,Östergötlands,11443
Älmhult,Kronobergs,17729
Älvdalen,Dalarnas,6869
Älvkarleby,Uppsala,9545
Älvsbyn,Norrbottens,7781
Ängelholm,Skåne,45009
Öckerö,Västra Götalands,12789
Ödeshög,Östergötlands,5244
Örebro,Örebro,160070
Örkelljunga,Skåne,10296
Örnsköldsvik,Västernorrlands,55487
Östersund,Jämtlands,64953
Österåker,Stockholms,49605
Östhammar,Uppsala,22194
Östra Göinge,Skåne,14020
Överkalix,Norrbottens,3185
Övertorneå,Norrbottens,4066
